year,mon,day,hour,minute,latitude,longitude,delta_lat,delta_lon,delta_pos
2020,8,2,10,14,67.1153016666667,13.99742,0.000,0.000,0.000
2020,8,2,10,24,67.1589983333333,14.0450983333333,0.044,0.048,0.065
2020,8,2,10,34,67.1922316666667,14.1173,0.033,0.072,0.079
2020,8,2,10,44,67.22519,14.19688,0.033,0.080,0.086
2020,8,2,10,54,67.2572233333333,14.27509,0.032,0.078,0.085
2020,8,2,11,4,67.2842916666667,14.356855,0.027,0.082,0.086
2020,8,2,11,14,67.2891366666667,14.3947416666667,0.005,0.038,0.038
2020,8,2,11,24,67.2888516666667,14.394875,0.000,0.000,0.000
2020,8,2,11,34,67.2888433333333,14.3948783333333,0.000,0.000,0.000
2020,8,2,11,44,67.288845,14.394875,0.000,0.000,0.000
2020,8,2,11,54,67.2888483333333,14.3948683333333,0.000,0.000,0.000
2020,8,2,12,4,67.28885,14.394865,0.000,0.000,0.000
2020,8,2,12,14,67.28885,14.3948716666667,0.000,0.000,0.000
2020,8,2,12,24,67.2888516666667,14.39487,0.000,0.000,0.000
2020,8,2,12,34,67.2888533333333,14.3948716666667,0.000,0.000,0.000
2020,8,2,12,44,67.2888533333333,14.3948883333333,0.000,0.000,0.000
2020,8,2,12,54,67.2888533333333,14.39489,0.000,0.000,0.000
2020,8,2,13,4,67.288855,14.3948916666667,0.000,0.000,0.000
2020,8,2,13,14,67.2888566666667,14.3948933333333,0.000,0.000,0.000
2020,8,2,13,24,67.2888566666667,14.39489,0.000,0.000,0.000
2020,8,2,13,34,67.2888516666667,14.3948633333333,0.000,0.000,0.000
2020,8,2,13,44,67.2858266666667,14.369585,-0.003,-0.025,0.025
2020,8,2,13,54,67.2970766666667,14.3756833333333,0.011,0.006,0.013
2020,8,2,14,4,67.3449266666667,14.3868183333333,0.048,0.011,0.049
2020,8,2,14,14,67.3654283333333,14.406135,0.021,0.019,0.028
2020,8,2,14,24,67.4046283333333,14.44122,0.039,0.035,0.053
2020,8,2,14,34,67.4554233333333,14.4053566666667,0.051,-0.036,0.062
2020,8,2,14,44,67.49705,14.3697383333333,0.042,-0.036,0.055
2020,8,2,14,54,67.518585,14.35596,0.022,-0.014,0.026
2020,8,2,15,4,67.5636,14.32696,0.045,-0.029,0.054
2020,8,2,15,14,67.611555,14.2912416666667,0.048,-0.036,0.060
2020,8,2,15,24,67.6385,14.2682,0.027,-0.023,0.035
2020,8,2,15,34,67.67825,14.2336083333333,0.040,-0.035,0.053
2020,8,2,15,44,67.7191833333333,14.1954133333333,0.041,-0.038,0.056
2020,8,2,15,54,67.7502083333333,14.16647,0.031,-0.029,0.042
2020,8,2,16,4,67.7982533333333,14.1213333333333,0.048,-0.045,0.066
2020,8,2,16,14,67.8397516666667,14.08252,0.041,-0.039,0.057
2020,8,2,16,24,67.87944,14.0450966666667,0.040,-0.037,0.055
2020,8,2,16,34,67.9005833333333,14.024945,0.021,-0.020,0.029
2020,8,2,16,44,67.94652,13.9812683333333,0.046,-0.044,0.063
2020,8,2,16,54,67.991535,13.9383383333333,0.045,-0.043,0.062
2020,8,2,17,4,68.0301283333333,13.9014783333333,0.039,-0.037,0.053
2020,8,2,17,14,68.0546683333333,13.8778366666667,0.025,-0.024,0.034
2020,8,2,17,24,68.1026066666667,13.8318816666667,0.048,-0.046,0.066
2020,8,2,17,34,68.1209233333333,13.8395416666667,0.018,0.008,0.020
2020,8,2,17,44,68.1206766666667,13.8399,0.000,0.000,0.000
2020,8,2,17,54,68.118605,13.8354066666667,-0.002,-0.004,0.005
2020,8,2,18,4,68.10712,13.854985,-0.011,0.020,0.023
2020,8,2,18,14,68.1113516666667,13.9765583333333,0.004,0.122,0.122
