year,mon,day,hour,minute,latitude,longitude
2020,08,04,07,34,70.99461333333333,24.865371666666668
2020,08,12,11,04,63.44359,10.407465
2020,08,07,12,04,68.57375833333333,15.079215
2020,08,04,23,04,70.63036333333334,29.728441666666665
2020,08,05,00,14,70.65744666666667,30.366691666666668
2020,08,15,02,14,70.56219333333334,23.12166
2020,08,08,08,14,66.37082333333333,12.958076666666667
2020,08,14,05,14,68.79950833333334,16.550063333333334
2020,08,06,00,04,71.04166666666667,27.843333333333334
2020,08,08,01,34,67.28884833333333,14.394853333333334
2020,08,02,22,54,68.43769166666667,15.161731666666666
2020,08,09,20,34,62.65358666666667,6.676818333333333
2020,08,04,08,34,70.93422833333334,25.525238333333334
2020,08,11,21,04,62.723355,7.048526666666667
2020,08,02,19,14,68.21894166666667,14.562526666666667
2020,08,12,18,34,64.57730833333333,10.586001666666666
2020,08,11,20,04,62.73500666666666,7.15777
2020,08,14,06,54,68.95757833333333,17.112061666666666
2020,08,10,04,14,61.84316833333333,5.2635233333333336
2020,08,03,05,44,68.79950833333334,16.550038333333333
2020,08,08,13,44,65.475725,12.210445
2020,08,13,17,04,68.12076666666667,13.839911666666668
2020,08,10,13,14,60.39279,5.309858333333334
2020,08,13,23,14,68.57141833333333,14.911373333333334
2020,08,10,19,54,60.465045,5.2530383333333335
2020,08,03,11,24,69.52486833333333,18.486456666666665
2020,08,11,19,14,62.66701333333334,6.7694383333333334
2020,08,04,09,14,70.973165,25.937828333333332
2020,08,14,00,04,68.62936833333333,15.341778333333334
2020,08,15,14,04,70.98353333333333,26.679196666666666
2020,08,11,08,04,62.477826666666665,6.145985
2020,08,03,12,24,69.64650166666667,18.960566666666665
2020,08,15,14,14,70.985425,26.842888333333335
2020,08,11,23,04,63.031198333333336,7.193255
2020,08,04,07,44,70.99010666666666,24.998046666666667
2020,08,08,21,24,64.64586166666666,10.683513333333334
2020,08,07,15,04,68.35387166666666,14.992855
2020,08,02,21,04,68.22790666666667,14.779755
2020,08,07,05,54,68.80376,16.565645
2020,08,03,08,54,69.21465666666667,17.986083333333333
2020,08,12,15,44,64.04323833333333,10.026743333333334
2020,08,07,03,54,69.11732666666667,17.590223333333334
2020,08,03,04,44,68.85434166666667,16.524853333333333
2020,08,07,00,24,69.55524333333334,18.721408333333333
2020,08,10,15,54,60.392785,5.309851666666667
2020,08,06,14,14,70.237215,22.349238333333332
2020,08,04,12,54,70.98074666666666,25.969633333333334
2020,08,15,00,04,70.237225,22.349206666666667
2020,08,03,04,54,68.82362333333333,16.600265
2020,08,07,08,14,68.976425,15.79977
2020,08,06,11,34,70.63775666666666,23.405188333333335
2020,08,04,14,54,70.98817333333334,27.087051666666667
2020,08,13,17,44,68.104965,13.862161666666667
2020,08,03,13,24,69.64649833333333,18.960595
2020,08,14,12,04,69.62122,18.922055
2020,08,08,20,04,64.857565,11.236816666666666
2020,08,07,00,34,69.54870833333334,18.644556666666666
2020,08,08,09,14,66.200085,13.007508333333334
2020,08,06,11,14,70.66435,23.662913333333332
2020,08,09,05,54,63.44358833333333,10.40746
2020,08,10,05,34,61.60775,4.985028333333333
2020,08,09,09,34,63.65406,9.757978333333334
2020,08,05,13,14,70.20605333333333,30.905345
2020,08,09,12,24,63.390595,8.465576666666667
2020,08,14,23,14,70.34373333333333,22.030451666666668
2020,08,06,10,44,70.66496666666667,23.68034
2020,08,11,19,54,62.72978833333333,7.133238333333333
2020,08,12,07,44,63.445231666666665,10.38186
2020,08,04,01,54,70.46578333333333,22.749903333333332
2020,08,06,09,04,70.66403,23.642131666666668
2020,08,10,08,14,61.205556666666666,4.7058366666666664
2020,08,08,10,34,66.02403666666666,12.637578333333334
2020,08,13,20,54,68.253625,14.94373
2020,08,05,02,04,70.376065,31.106386666666666
2020,08,14,01,54,68.87759833333334,15.532396666666667
2020,08,12,20,14,64.846175,11.207988333333333
2020,08,05,23,04,71.094785,27.947371666666665
2020,08,06,11,04,70.66496166666667,23.68034
2020,08,08,02,04,67.28884333333333,14.394856666666668
2020,08,11,18,14,62.590875,6.2527333333333335
2020,08,11,15,34,62.42351,6.4822033333333335
2020,08,05,09,24,69.728885,30.071158333333333
2020,08,13,20,04,68.23092833333334,14.566695
2020,08,04,01,24,70.39351,22.43244333333333
2020,08,06,11,44,70.61637166666667,23.30002
2020,08,04,04,34,70.71622833333333,23.596385
2020,08,07,06,24,68.79951333333334,16.55007
2020,08,14,08,44,69.19449,18.02415166666667
2020,08,08,01,14,67.28885,14.394856666666668
2020,08,14,05,54,68.80199333333333,16.563973333333333
2020,08,07,01,04,69.50344833333334,18.300333333333334
2020,08,11,04,04,61.93948666666667,5.122843333333333
2020,08,04,19,14,71.06549,28.466548333333332
2020,08,12,00,34,63.1149,7.7370133333333335
2020,08,15,03,04,70.66484333333334,23.664936666666666
2020,08,02,18,54,68.18081166666667,14.37113
2020,08,15,04,24,70.687825,23.559613333333335
2020,08,11,02,44,61.76168833333333,5.030626666666667
2020,08,14,12,44,69.646495,18.960571666666667
2020,08,07,11,14,68.69827,15.425808333333332
2020,08,09,19,24,62.73500833333333,7.157785
2020,08,12,23,44,65.46200166666667,12.185745
2020,08,04,06,24,71.027075,24.550968333333334
2020,08,08,09,24,66.18863666666667,12.994526666666667
2020,08,08,22,24,64.47235666666667,10.288028333333333
2020,08,08,05,24,66.86886833333334,13.702313333333333
2020,08,04,22,04,70.74486333333333,29.769286666666666
2020,08,14,08,24,69.157965,17.89276
2020,08,05,02,14,70.36970833333334,31.143513333333335
2020,08,04,15,44,70.95205333333334,27.32799
2020,08,04,16,54,71.11637333333333,27.52383
2020,08,11,23,54,63.118005,7.577986666666667
2020,08,10,00,04,62.33591833333333,5.73384
2020,08,07,09,04,68.96797666666667,15.642231666666667
2020,08,02,10,24,67.15899833333333,14.045098333333334
2020,08,14,16,34,69.64639,18.961023333333333
2020,08,10,10,34,60.69417166666667,4.852076666666667
2020,08,04,20,14,70.90130166666667,29.083295
2020,08,15,00,14,70.23722333333333,22.34921
2020,08,10,15,34,60.392781666666664,5.309848333333333
2020,08,03,19,14,69.98440833333333,20.08899
2020,08,03,01,34,68.70077,15.425701666666667
2020,08,08,17,04,65.22551,11.901813333333333
2020,08,13,15,44,67.84051,14.081875
2020,08,06,13,14,70.39192166666666,22.423671666666667
2020,08,11,11,44,62.14931833333333,6.98776
2020,08,14,22,34,70.37433333333334,21.6067
2020,08,13,22,44,68.57127666666666,14.913863333333333
2020,08,12,18,04,64.487,10.440808333333333
2020,08,12,03,44,63.457033333333335,8.8524
2020,08,13,01,54,65.83886166666667,12.365038333333333
2020,08,03,04,24,68.90413,16.361758333333334
2020,08,14,20,44,70.034945,20.98397
2020,08,03,05,34,68.79950166666667,16.550048333333333
2020,08,11,05,54,62.277543333333334,5.338583333333333
2020,08,13,10,54,67.28886666666666,14.39487
2020,08,14,20,14,70.04246166666667,21.031501666666667
2020,08,08,20,44,64.74139,10.967688333333333
2020,08,08,00,14,67.31147666666666,14.378286666666666
2020,08,09,03,24,63.53796833333333,9.874056666666666
2020,08,05,00,04,70.68867833333333,30.27194
2020,08,12,17,54,64.44824666666666,10.446641666666666
2020,08,09,11,34,63.456761666666665,8.841206666666666
2020,08,11,06,44,62.325898333333335,5.746863333333334
2020,08,13,06,14,66.571665,13.086308333333333
2020,08,04,14,34,70.98502833333333,26.810106666666666
2020,08,13,07,34,66.81801333333334,13.537406666666667
2020,08,10,06,54,61.48753833333333,4.982481666666667
2020,08,12,10,44,63.44359166666667,10.407456666666667
2020,08,12,22,34,65.18664333333334,11.861075
2020,08,07,17,44,68.230915,14.566703333333333
2020,08,05,12,54,70.14851333333333,30.757281666666668
2020,08,03,21,34,70.11143166666666,21.075766666666667
2020,08,12,07,24,63.46241833333333,10.25607
2020,08,05,11,14,69.84262666666666,30.116208333333333
2020,08,08,20,14,64.82293666666666,11.15418
2020,08,10,12,04,60.470301666666664,5.24852
2020,08,09,18,24,62.71758666666667,7.00255
2020,08,04,03,34,70.665055,23.681163333333334
2020,08,14,08,14,69.14193166666666,17.783405
2020,08,06,18,04,70.03624,21.018581666666666
2020,08,03,20,34,70.04904666666667,21.028256666666667
2020,08,12,06,44,63.496611666666674,9.918226666666667
2020,08,09,12,34,63.36416833333333,8.371066666666668
2020,08,08,04,44,66.89277333333334,13.534201666666666
2020,08,03,07,24,69.02844333333333,17.307031666666667
2020,08,13,14,24,67.52500333333333,14.351825
2020,08,07,16,44,68.226975,14.564156666666667
2020,08,04,23,34,70.71629,29.94125
2020,08,08,16,24,65.35695833333334,12.05472
2020,08,12,01,44,63.23258166666667,7.98869
2020,08,04,06,54,70.99471,24.68853
2020,08,06,13,44,70.28740166666667,22.310276666666667
2020,08,14,18,04,69.84048,19.683776666666667
2020,08,14,03,54,68.88927,16.405726666666666
2020,08,09,12,14,63.40282166666667,8.51371
2020,08,11,05,34,62.24238166666667,5.223035
2020,08,13,00,24,65.47391,12.203136666666667
2020,08,10,03,44,61.913205,5.119396666666667
2020,08,14,18,24,69.87965,19.85159833333333
2020,08,05,23,54,71.04166666666667,27.843333333333334
2020,08,07,02,34,69.22920666666667,17.97022
2020,08,06,08,24,70.77847833333334,23.71901666666667
2020,08,12,21,04,64.90830666666666,11.365876666666667
2020,08,06,19,14,69.98581666666666,20.254711666666665
2020,08,13,21,14,68.32339,14.987206666666667
2020,08,10,05,54,61.601771666666664,5.025136666666667
2020,08,06,23,54,69.633705,18.944706666666665
2020,08,05,08,44,69.72888,30.071156666666667
2020,08,13,22,04,68.50225,15.173945
2020,08,11,04,24,61.98152,5.155663333333333
